"sampleDate","Length..mm.","Species"
"2010-06-16",670,"chinook"
"2010-06-16",670,"chinook"
"2010-06-16",620,"chinook"
"2010-06-16",625,"chinook"
"2010-06-16",815,"chinook"
"2010-06-16",680,"chinook"
"2010-06-16",735,"chinook"
"2010-06-16",690,"chinook"
"2010-06-16",630,"chinook"
"2010-06-06",685,"chinook"
"2010-06-06",715,"chinook"
"2010-06-06",670,"chinook"
"2010-06-06",780,"chinook"
"2010-06-06",670,"chinook"
"2010-06-06",690,"chinook"
"2010-06-06",710,"chinook"
"2010-06-06",730,"chinook"
"2010-06-06",780,"chinook"
"2010-06-06",660,"chinook"
"2010-06-07",610,"chinook"
"2010-06-07",635,"chinook"
"2010-06-07",645,"chinook"
"2010-06-07",625,"chinook"
"2010-06-07",665,"chinook"
"2010-06-07",755,"chinook"
"2010-06-07",835,"chinook"
"2010-06-07",755,"chinook"
"2010-06-07",795,"chinook"
"2010-06-07",805,"chinook"
"2010-06-07",645,"chinook"
"2010-06-07",730,"chinook"
"2010-06-07",705,"chinook"
"2010-06-07",800,"chinook"
"2010-06-07",655,"chinook"
"2010-06-07",660,"chinook"
"2010-06-07",800,"chinook"
"2010-06-07",620,"chinook"
"2010-06-07",630,"chinook"
"2010-06-07",625,"chinook"
"2010-06-09",785,"chinook"
"2010-06-09",770,"chinook"
"2010-06-09",700,"chinook"
"2010-06-09",625,"chinook"
"2010-06-09",650,"chinook"
"2010-06-09",760,"chinook"
"2010-06-09",675,"chinook"
"2010-06-09",620,"chinook"
"2010-06-09",605,"chinook"
"2010-06-09",620,"chinook"
"2010-06-09",660,"chinook"
"2010-06-09",900,"chinook"
"2010-06-09",665,"chinook"
"2010-06-09",630,"chinook"
"2010-06-09",765,"chinook"
"2010-06-13",755,"chinook"
"2010-06-13",755,"chinook"
"2010-06-13",770,"chinook"
"2010-06-13",640,"chinook"
"2010-06-13",645,"chinook"
"2010-06-13",680,"chinook"
"2010-06-01",725,"chinook"
"2010-06-01",680,"chinook"
"2010-06-01",650,"chinook"
"2010-06-01",670,"chinook"
"2010-06-01",615,"chinook"
"2010-06-01",725,"chinook"
"2010-06-01",760,"chinook"
"2010-06-01",715,"chinook"
"2010-06-01",800,"chinook"
"2010-06-02",735,"chinook"
"2010-06-02",750,"chinook"
"2010-06-02",810,"chinook"
"2010-06-02",720,"chinook"
"2010-06-02",760,"chinook"
"2010-06-02",725,"chinook"
"2010-06-02",630,"chinook"
"2010-06-02",730,"chinook"
"2010-06-02",650,"chinook"
"2010-06-02",730,"chinook"
"2010-06-02",750,"chinook"
"2010-06-02",705,"chinook"
"2010-06-02",695,"chinook"
"2010-06-02",765,"chinook"
"2010-06-02",660,"chinook"
"2010-06-02",700,"chinook"
"2010-06-02",640,"chinook"
"2010-06-02",620,"chinook"
"2010-06-02",730,"chinook"
"2010-06-02",785,"chinook"
"2010-06-03",700,"chinook"
"2010-06-03",880,"chinook"
"2010-06-03",665,"chinook"
"2010-06-03",890,"chinook"
"2010-06-03",765,"chinook"
"2010-06-06",755,"chinook"
"2010-06-06",795,"chinook"
"2010-06-06",800,"chinook"
"2010-06-06",630,"chinook"
"2010-06-06",700,"chinook"
"2010-06-06",665,"chinook"
"2010-06-06",675,"chinook"
"2010-06-06",735,"chinook"
"2010-06-06",670,"chinook"
"2010-06-06",610,"chinook"
"2010-06-06",655,"chinook"
"2010-06-06",630,"chinook"
"2010-06-06",605,"chinook"
"2010-06-06",675,"chinook"
"2010-06-06",685,"chinook"
"2010-06-06",750,"chinook"
"2010-05-18",690,"chinook"
"2010-05-18",765,"chinook"
"2010-05-18",790,"chinook"
"2010-05-18",755,"chinook"
"2010-05-18",860,"chinook"
"2010-05-18",800,"chinook"
"2010-05-18",615,"chinook"
"2010-05-18",645,"chinook"
"2010-06-06",760,"chinook"
"2010-05-18",630,"chinook"
"2010-05-18",810,"chinook"
"2010-05-18",760,"chinook"
"2010-05-18",630,"chinook"
"2010-05-18",805,"chinook"
"2010-05-24",770,"chinook"
"2010-05-24",615,"chinook"
"2010-05-24",720,"chinook"
"2010-05-24",700,"chinook"
"2010-05-24",730,"chinook"
"2010-05-24",800,"chinook"
"2010-05-24",830,"chinook"
"2010-05-24",785,"chinook"
"2010-05-24",685,"chinook"
"2010-05-24",635,"chinook"
"2010-05-24",715,"chinook"
"2010-05-24",725,"chinook"
"2010-05-24",715,"chinook"
"2010-05-24",740,"chinook"
"2010-05-24",740,"chinook"
"2010-05-24",675,"chinook"
"2010-05-24",670,"chinook"
"2010-05-24",855,"chinook"
"2010-05-24",650,"chinook"
"2010-05-24",605,"chinook"
"2010-05-24",765,"chinook"
"2010-05-24",765,"chinook"
"2010-05-24",660,"chinook"
"2010-05-24",650,"chinook"
"2010-05-25",760,"chinook"
"2010-05-25",760,"chinook"
"2010-05-25",755,"chinook"
"2010-05-25",740,"chinook"
"2010-05-25",740,"chinook"
"2010-05-25",730,"chinook"
"2010-05-25",730,"chinook"
"2010-05-25",745,"chinook"
"2010-06-01",745,"chinook"
"2010-06-01",765,"chinook"
"2010-06-01",800,"chinook"
"2010-06-01",740,"chinook"
"2010-06-01",675,"chinook"
"2010-06-01",685,"chinook"
"2010-06-01",625,"chinook"
"2010-06-16",615,"chinook"
"2010-06-16",605,"chinook"
"2010-06-16",695,"chinook"
"2010-06-16",665,"chinook"
"2010-06-16",725,"chinook"
"2010-06-16",700,"chinook"
"2010-06-20",635,"chinook"
"2010-06-20",635,"chinook"
"2010-06-21",845,"chinook"
"2010-06-21",635,"chinook"
"2010-06-22",810,"chinook"
"2010-06-22",755,"chinook"
"2010-06-22",800,"chinook"
"2010-06-22",775,"chinook"
"2010-06-22",780,"chinook"
"2010-06-22",805,"chinook"
"2010-06-22",840,"chinook"
"2010-06-22",825,"chinook"
"2010-06-22",720,"chinook"
"2010-06-22",715,"chinook"
"2010-06-22",740,"chinook"
"2010-06-22",795,"chinook"
"2010-06-22",730,"chinook"
"2010-06-22",710,"chinook"
"2010-06-22",695,"chinook"
"2010-06-22",675,"chinook"
"2010-06-22",695,"chinook"
"2010-06-22",765,"chinook"
"2010-06-22",795,"chinook"
"2010-06-23",645,"chinook"
"2010-06-23",690,"chinook"
"2010-06-23",640,"chinook"
"2010-06-23",650,"chinook"
"2010-06-23",625,"chinook"
"2010-06-23",810,"chinook"
"2010-06-23",625,"chinook"
"2010-06-23",605,"chinook"
"2010-06-23",615,"chinook"
"2010-06-23",640,"chinook"
"2010-06-23",665,"chinook"
"2010-06-23",820,"chinook"
"2010-06-23",770,"chinook"
"2010-06-23",705,"chinook"
"2010-05-03",734,"chinook"
"2010-05-03",778,"chinook"
"2010-05-03",777,"chinook"
"2010-05-19",833,"chinook"
"2010-05-19",770,"chinook"
"2010-05-19",851,"chinook"
"2010-05-19",862,"chinook"
"2010-05-19",725,"chinook"
"2010-05-19",701,"chinook"
"2010-05-19",780,"chinook"
"2010-05-19",840,"chinook"
"2010-05-19",802,"chinook"
"2010-05-19",870,"chinook"
"2010-05-19",825,"chinook"
"2010-05-19",843,"chinook"
"2010-05-19",834,"chinook"
"2010-05-19",792,"chinook"
"2010-05-19",788,"chinook"
"2010-05-19",801,"chinook"
"2010-05-19",890,"chinook"
"2010-05-26",705,"chinook"
"2010-05-26",768,"chinook"
"2010-05-26",878,"chinook"
"2010-05-26",819,"chinook"
"2010-05-26",689,"chinook"
"2010-05-26",783,"chinook"
"2010-05-26",711,"chinook"
"2010-05-26",789,"chinook"
"2010-06-02",676,"chinook"
"2010-06-02",734,"chinook"
"2010-06-02",760,"chinook"
"2010-06-02",789,"chinook"
"2010-06-02",770,"chinook"
"2010-06-02",719,"chinook"
"2010-06-02",893,"chinook"
"2010-06-02",865,"chinook"
"2010-06-02",809,"chinook"
"2010-06-02",740,"chinook"
"2010-06-02",704,"chinook"
"2010-06-02",700,"chinook"
"2010-06-08",866,"chinook"
"2010-06-08",760,"chinook"
"2010-06-08",831,"chinook"
"2010-06-08",762,"chinook"
"2010-06-08",821,"chinook"
"2010-06-08",757,"chinook"
"2010-06-08",820,"chinook"
"2010-06-08",768,"chinook"
"2010-06-08",697,"chinook"
"2010-06-08",845,"chinook"
"2010-06-08",799,"chinook"
"2010-06-08",705,"chinook"
"2010-06-09",740,"chinook"
"2010-06-09",780,"chinook"
"2010-06-16",925,"chinook"
"2010-06-16",835,"chinook"
"2010-06-16",885,"chinook"
"2010-06-16",895,"chinook"
"2010-06-16",730,"chinook"
"2010-06-16",855,"chinook"
"2010-06-16",735,"chinook"
"2010-06-16",760,"chinook"
"2010-06-16",865,"chinook"
"2010-06-16",815,"chinook"
"2010-06-16",890,"chinook"
"2010-06-16",795,"chinook"
"2010-06-16",845,"chinook"
"2010-06-16",845,"chinook"
"2010-06-16",840,"chinook"
"2010-06-16",850,"chinook"
"2010-06-16",855,"chinook"
"2010-06-16",680,"chinook"
"2010-06-17",795,"chinook"
"2010-06-17",885,"chinook"
"2010-06-17",885,"chinook"
"2010-06-17",775,"chinook"
"2010-06-17",885,"chinook"
"2010-06-17",690,"chinook"
"2010-06-17",820,"chinook"
"2010-06-17",740,"chinook"
"2010-06-17",715,"chinook"
"2010-06-17",810,"chinook"
"2010-05-03",832,"chinook"
"2010-05-03",772,"chinook"
"2010-05-03",767,"chinook"
"2010-05-03",847,"chinook"
"2010-05-03",789,"chinook"
"2010-05-03",848,"chinook"
"2010-05-03",760,"chinook"
"2010-05-03",817,"chinook"
"2010-05-03",835,"chinook"
"2010-05-03",640,"chinook"
"2010-05-03",754,"chinook"
"2010-05-03",833,"chinook"
"2010-05-03",746,"chinook"
"2010-05-03",883,"chinook"
"2010-05-03",912,"chinook"
"2010-05-03",767,"chinook"
"2010-05-03",817,"chinook"
"2010-05-03",867,"chinook"
"2010-05-03",723,"chinook"
"2010-05-03",762,"chinook"
"2010-05-03",797,"chinook"
"2010-05-03",780,"chinook"
"2010-05-27",835,"chinook"
"2010-05-27",720,"chinook"
"2010-05-27",790,"chinook"
"2010-05-27",845,"chinook"
"2010-06-02",800,"chinook"
"2010-06-02",850,"chinook"
"2010-06-02",770,"chinook"
"2010-06-02",765,"chinook"
"2010-06-02",755,"chinook"
"2010-06-02",830,"chinook"
"2010-06-02",815,"chinook"
"2010-06-02",715,"chinook"
"2010-06-02",755,"chinook"
"2010-06-02",780,"chinook"
"2010-06-02",820,"chinook"
"2010-06-02",635,"chinook"
"2010-06-02",705,"chinook"
"2010-06-02",795,"chinook"
"2010-06-02",875,"chinook"
"2010-06-02",720,"chinook"
"2010-06-03",795,"chinook"
"2010-06-03",875,"chinook"
"2010-06-03",740,"chinook"
"2010-06-03",825,"chinook"
"2010-06-03",755,"chinook"
"2010-06-03",810,"chinook"
"2010-06-03",730,"chinook"
"2010-06-03",820,"chinook"
"2010-06-03",830,"chinook"
"2010-06-03",775,"chinook"
"2010-06-09",860,"chinook"
"2010-06-09",890,"chinook"
"2010-06-09",825,"chinook"
"2010-06-09",770,"chinook"
"2010-06-09",695,"chinook"
"2010-06-09",670,"chinook"
"2010-06-09",800,"chinook"
"2010-06-09",835,"chinook"
"2010-06-09",815,"chinook"
"2010-06-09",680,"chinook"
"2010-06-09",820,"chinook"
"2010-06-09",815,"chinook"
"2010-06-09",820,"chinook"
"2010-06-09",720,"chinook"
"2010-06-09",830,"chinook"
"2010-06-09",835,"chinook"
"2010-06-09",775,"chinook"
"2010-06-09",800,"chinook"
"2010-06-09",820,"chinook"
"2010-06-09",755,"chinook"
"2010-06-09",800,"chinook"
"2010-05-19",830,"chinook"
"2010-05-19",750,"chinook"
"2010-05-19",715,"chinook"
"2010-05-19",710,"chinook"
"2010-05-19",780,"chinook"
"2010-05-19",805,"chinook"
"2010-05-19",785,"chinook"
"2010-05-19",690,"chinook"
"2010-05-19",800,"chinook"
"2010-05-19",845,"chinook"
"2010-05-19",850,"chinook"
"2010-05-19",815,"chinook"
"2010-05-19",755,"chinook"
"2010-05-19",750,"chinook"
"2010-05-19",695,"chinook"
"2010-05-19",690,"chinook"
"2010-05-19",755,"chinook"
"2010-05-25",725,"chinook"
"2010-05-25",765,"chinook"
"2010-05-25",760,"chinook"
"2010-05-25",830,"chinook"
"2010-05-25",720,"chinook"
"2010-05-25",725,"chinook"
"2010-05-25",825,"chinook"
"2010-05-25",745,"chinook"
"2010-05-26",765,"chinook"
"2010-05-26",800,"chinook"
"2010-05-26",845,"chinook"
"2010-05-26",705,"chinook"
"2010-05-26",815,"chinook"
"2010-05-26",835,"chinook"
"2010-05-26",850,"chinook"
"2010-05-26",810,"chinook"
"2010-05-26",805,"chinook"
"2010-05-26",815,"chinook"
"2010-05-26",895,"chinook"
"2010-05-26",910,"chinook"
"2010-05-26",765,"chinook"
"2010-05-26",720,"chinook"
"2010-05-26",715,"chinook"
"2010-05-26",750,"chinook"
"2010-05-26",750,"chinook"
"2010-05-26",710,"chinook"
"2010-05-26",825,"chinook"
"2010-05-26",840,"chinook"
"2010-05-27",800,"chinook"
"2010-05-27",730,"chinook"
"2010-05-27",690,"chinook"
"2010-05-27",760,"chinook"
"2010-05-27",645,"chinook"
"2010-05-27",785,"chinook"
"2010-06-24",635,"chinook"
"2010-06-24",720,"chinook"
"2010-06-24",785,"chinook"
"2010-06-24",905,"chinook"
"2010-06-24",660,"chinook"
"2010-06-24",780,"chinook"
"2010-06-24",800,"chinook"
"2010-05-05",785,"chinook"
"2010-05-05",680,"chinook"
"2010-05-05",770,"chinook"
"2010-05-05",760,"chinook"
"2010-05-05",690,"chinook"
"2010-05-05",695,"chinook"
"2010-05-05",855,"chinook"
"2010-05-05",775,"chinook"
"2010-05-06",770,"chinook"
"2010-05-06",765,"chinook"
"2010-05-06",855,"chinook"
"2010-05-12",870,"chinook"
"2010-05-12",790,"chinook"
"2010-05-12",860,"chinook"
"2010-05-12",780,"chinook"
"2010-05-12",800,"chinook"
"2010-05-12",795,"chinook"
"2010-05-12",750,"chinook"
"2010-05-12",755,"chinook"
"2010-05-12",845,"chinook"
"2010-05-12",850,"chinook"
"2010-05-12",790,"chinook"
"2010-05-12",760,"chinook"
"2010-05-12",775,"chinook"
"2010-05-12",750,"chinook"
"2010-05-12",790,"chinook"
"2010-05-12",740,"chinook"
"2010-05-12",800,"chinook"
"2010-05-18",725,"chinook"
"2010-05-18",705,"chinook"
"2010-05-18",635,"chinook"
"2010-05-18",820,"chinook"
"2010-05-18",780,"chinook"
"2010-05-19",810,"chinook"
"2010-05-19",870,"chinook"
"2010-05-19",825,"chinook"
"2010-05-19",735,"chinook"
"2010-05-19",840,"chinook"
"2010-05-19",825,"chinook"
"2010-05-19",705,"chinook"
"2010-05-19",890,"chinook"
"2010-05-19",910,"chinook"
"2010-05-19",910,"chinook"
"2010-05-19",790,"chinook"
"2010-05-19",740,"chinook"
"2010-05-07",700,"chinook"
"2010-05-07",805,"chinook"
"2010-05-07",605,"chinook"
"2010-05-07",710,"chinook"
"2010-05-07",715,"chinook"
"2010-05-07",695,"chinook"
"2010-05-07",780,"chinook"
"2010-05-07",780,"chinook"
"2010-05-07",875,"chinook"
"2010-05-07",745,"chinook"
"2010-05-07",745,"chinook"
"2010-05-07",745,"chinook"
"2010-05-07",750,"chinook"
"2010-05-07",685,"chinook"
"2010-05-07",810,"chinook"
"2010-05-11",680,"chinook"
"2010-05-12",725,"chinook"
"2010-05-12",695,"chinook"
"2010-05-12",670,"chinook"
"2010-05-14",625,"chinook"
"2010-05-17",775,"chinook"
"2010-05-17",800,"chinook"
"2010-05-19",700,"chinook"
"2010-05-19",625,"chinook"
"2010-05-20",745,"chinook"
"2010-05-20",675,"chinook"
"2010-05-20",750,"chinook"
"2010-05-25",710,"chinook"
"2010-05-26",680,"chinook"
"2010-05-27",730,"chinook"
"2010-06-02",730,"chinook"
"2010-06-02",755,"chinook"
"2010-06-02",740,"chinook"
"2010-06-02",750,"chinook"
"2010-06-02",690,"chinook"
"2010-06-03",720,"chinook"
"2010-06-03",710,"chinook"
"2010-06-04",725,"chinook"
"2010-06-04",700,"chinook"
"2010-06-04",750,"chinook"
"2010-06-08",795,"chinook"
"2010-06-08",740,"chinook"
"2010-06-08",650,"chinook"
"2010-06-08",660,"chinook"
"2010-06-09",720,"chinook"
"2010-06-09",825,"chinook"
"2010-06-09",800,"chinook"
"2010-06-09",760,"chinook"
"2010-06-10",750,"chinook"
"2010-06-10",740,"chinook"
"2010-06-10",820,"chinook"
"2010-06-10",770,"chinook"
"2010-06-10",770,"chinook"
"2010-06-10",965,"chinook"
"2010-06-10",680,"chinook"
"2010-06-10",780,"chinook"
"2010-06-10",740,"chinook"
"2010-06-10",895,"chinook"
"2010-06-10",730,"chinook"
"2010-06-11",715,"chinook"
"2010-06-11",650,"chinook"
"2010-06-11",710,"chinook"
"2010-06-11",840,"chinook"
"2010-06-11",705,"chinook"
"2010-06-11",680,"chinook"
"2010-06-15",685,"chinook"
"2010-06-15",745,"chinook"
"2010-06-17",710,"chinook"
"2010-06-18",725,"chinook"
"2010-06-19",630,"chinook"
"2010-06-19",730,"chinook"
"2010-06-19",705,"chinook"
"2010-06-19",775,"chinook"
"2010-06-19",650,"chinook"
"2010-06-19",680,"chinook"
"2010-06-19",630,"chinook"
"2010-06-19",725,"chinook"
"2010-06-22",730,"chinook"
"2010-06-22",770,"chinook"
"2010-06-22",635,"chinook"
"2010-06-22",625,"chinook"
"2010-06-23",705,"chinook"
"2010-06-23",700,"chinook"
"2010-06-23",690,"chinook"
"2010-06-24",690,"chinook"
"2010-06-24",700,"chinook"
"2010-06-25",665,"chinook"
"2010-08-25",665,"chinook"
"2010-08-25",505,"chinook"
"2010-08-25",545,"chinook"
"2010-06-08",775,"chinook"
"2010-05-19",775,"chinook"
"2010-05-19",760,"chinook"
"2010-05-19",910,"chinook"
"2010-05-19",890,"chinook"
"2010-05-19",795,"chinook"
"2010-05-19",830,"chinook"
"2010-05-19",710,"chinook"
"2010-05-19",990,"chinook"
"2010-05-19",825,"chinook"
"2010-05-19",740,"chinook"
"2010-05-06",735,"chinook"
"2010-05-06",720,"chinook"
"2010-05-06",630,"chinook"
"2010-05-06",630,"chinook"
"2010-05-07",810,"chinook"
"2010-05-07",750,"chinook"
"2010-06-30",700,"chinook"
"2010-06-30",815,"chinook"
"2010-07-06",670,"chinook"
"2010-07-06",710,"chinook"
"2010-07-06",735,"chinook"
"2010-07-06",515,"chinook"
"2010-07-06",550,"chinook"
"2010-07-06",545,"chinook"
"2010-07-06",655,"chinook"
"2010-07-06",655,"chinook"
"2010-07-06",725,"chinook"
"2010-07-06",665,"chinook"
"2010-07-06",590,"chinook"
"2010-07-06",545,"chinook"
"2010-07-06",630,"chinook"
"2010-07-06",775,"chinook"
"2010-07-06",535,"chinook"
"2010-07-06",795,"chinook"
"2010-07-06",635,"chinook"
"2010-07-06",700,"chinook"
"2010-07-06",680,"chinook"
"2010-07-06",580,"chinook"
"2010-07-06",660,"chinook"
"2010-07-06",695,"chinook"
"2010-07-06",620,"chinook"
"2010-07-06",795,"chinook"
"2010-07-06",455,"chinook"
"2010-07-06",540,"chinook"
"2010-07-06",480,"chinook"
"2010-07-06",515,"chinook"
"2010-07-06",735,"chinook"
"2010-07-06",780,"chinook"
"2010-07-06",670,"chinook"
"2010-07-06",590,"chinook"
"2010-07-06",595,"chinook"
"2010-07-06",610,"chinook"
"2010-07-06",600,"chinook"
"2010-07-06",635,"chinook"
"2010-07-06",880,"chinook"
"2010-07-06",515,"chinook"
"2010-07-06",795,"chinook"
"2010-07-06",660,"chinook"
"2010-07-13",635,"chinook"
"2010-07-13",810,"chinook"
"2010-07-13",615,"chinook"
"2010-07-13",650,"chinook"
"2010-07-13",655,"chinook"
"2010-07-13",630,"chinook"
"2010-07-13",495,"chinook"
"2010-07-13",570,"chinook"
"2010-07-13",455,"chinook"
"2010-07-13",445,"chinook"
"2010-07-13",815,"chinook"
"2010-07-13",670,"chinook"
"2010-07-13",660,"chinook"
"2010-07-13",680,"chinook"
"2010-06-22",780,"chinook"
"2010-06-22",500,"chinook"
"2010-06-22",505,"chinook"
"2010-06-22",490,"chinook"
"2010-06-22",500,"chinook"
"2010-06-22",485,"chinook"
"2010-06-22",545,"chinook"
"2010-06-23",555,"chinook"
"2010-06-23",640,"chinook"
"2010-06-23",605,"chinook"
"2010-06-23",920,"chinook"
"2010-06-23",550,"chinook"
"2010-06-23",495,"chinook"
"2010-06-23",980,"chinook"
"2010-06-23",720,"chinook"
"2010-06-23",670,"chinook"
"2010-06-23",770,"chinook"
"2010-06-23",540,"chinook"
"2010-06-23",615,"chinook"
"2010-06-23",850,"chinook"
"2010-06-23",820,"chinook"
"2010-06-23",745,"chinook"
"2010-06-23",780,"chinook"
"2010-06-23",545,"chinook"
"2010-06-23",885,"chinook"
"2010-06-23",605,"chinook"
"2010-06-23",510,"chinook"
"2010-06-23",735,"chinook"
"2010-06-23",570,"chinook"
"2010-06-23",670,"chinook"
"2010-06-24",740,"chinook"
"2010-06-24",740,"chinook"
"2010-06-24",795,"chinook"
"2010-06-24",725,"chinook"
"2010-06-24",825,"chinook"
"2010-06-24",770,"chinook"
"2010-06-24",675,"chinook"
"2010-06-24",790,"chinook"
"2010-06-24",560,"chinook"
"2010-06-24",585,"chinook"
"2010-06-28",735,"chinook"
"2010-06-28",720,"chinook"
"2010-06-28",845,"chinook"
"2010-06-28",740,"chinook"
"2010-06-29",780,"chinook"
"2010-06-29",770,"chinook"
"2010-06-29",820,"chinook"
"2010-06-29",700,"chinook"
"2010-06-29",740,"chinook"
"2010-06-29",720,"chinook"
"2010-06-29",690,"chinook"
"2010-06-29",685,"chinook"
"2010-06-29",580,"chinook"
"2010-06-29",770,"chinook"
"2010-06-29",570,"chinook"
"2010-06-29",590,"chinook"
"2010-06-29",545,"chinook"
"2010-06-29",480,"chinook"
"2010-06-29",790,"chinook"
"2010-06-30",550,"chinook"
"2010-06-30",735,"chinook"
"2010-06-30",561,"chinook"
"2010-06-30",541,"chinook"
"2010-06-30",495,"chinook"
"2010-06-30",630,"chinook"
"2010-06-30",820,"chinook"
"2010-06-30",515,"chinook"
"2010-06-30",695,"chinook"
"2010-06-30",855,"chinook"
"2010-06-30",660,"chinook"
"2010-06-30",750,"chinook"
"2010-06-30",580,"chinook"
"2010-06-30",525,"chinook"
"2010-06-30",500,"chinook"
"2010-06-30",530,"chinook"
"2010-06-30",470,"chinook"
"2010-06-30",490,"chinook"
"2010-06-30",790,"chinook"
"2010-07-13",670,"chinook"
"2010-07-15",745,"chinook"
"2010-07-15",530,"chinook"
"2010-07-15",660,"chinook"
"2010-07-20",610,"chinook"
"2010-07-20",830,"chinook"
"2010-07-20",620,"chinook"
"2010-07-20",750,"chinook"
"2010-07-20",820,"chinook"
"2010-07-20",605,"chinook"
"2010-07-20",660,"chinook"
"2010-07-26",830,"chinook"
"2010-07-26",730,"chinook"
"2010-07-27",805,"chinook"
"2010-07-27",695,"chinook"
"2010-07-27",550,"chinook"
"2010-07-27",480,"chinook"
"2010-08-03",460,"chinook"
"2010-08-03",490,"chinook"
"2010-08-03",625,"chinook"
"2010-08-03",785,"chinook"
"2010-08-03",635,"chinook"
"2010-08-03",800,"chinook"
"2010-08-09",620,"chinook"
"2010-08-09",560,"chinook"
"2010-08-09",760,"chinook"
"2010-08-10",750,"chinook"
"2010-07-06",520,"chinook"
"2010-07-06",605,"chinook"
"2010-07-06",640,"chinook"
"2010-07-06",560,"chinook"
"2010-07-06",550,"chinook"
"2010-07-06",810,"chinook"
"2010-07-06",805,"chinook"
"2010-07-06",835,"chinook"
"2010-07-06",770,"chinook"
"2010-07-20",730,"chinook"
"2010-07-20",810,"chinook"
"2010-06-22",590,"chinook"
"2010-06-22",730,"chinook"
"2010-06-22",630,"chinook"
"2010-06-22",520,"chinook"
"2010-06-22",600,"chinook"
"2010-06-22",680,"chinook"
"2010-06-22",640,"chinook"
"2010-06-22",600,"chinook"
"2010-06-22",NA,"chinook"
"2010-06-22",610,"chinook"
"2010-06-23",830,"chinook"
"2010-06-23",725,"chinook"
"2010-06-23",815,"chinook"
"2010-06-23",665,"chinook"
"2010-06-23",710,"chinook"
"2010-06-23",NA,"chinook"
"2010-06-23",NA,"chinook"
"2010-06-23",NA,"chinook"
"2010-06-23",715,"chinook"
"2010-06-23",785,"chinook"
"2010-06-23",760,"chinook"
"2010-06-23",785,"chinook"
"2010-06-23",780,"chinook"
"2010-06-23",770,"chinook"
"2010-06-23",715,"chinook"
"2010-06-23",810,"chinook"
"2010-06-23",740,"chinook"
"2010-06-23",805,"chinook"
"2010-06-23",760,"chinook"
"2010-06-23",860,"chinook"
"2010-06-23",665,"chinook"
"2010-06-23",890,"chinook"
"2010-06-23",575,"chinook"
"2010-06-23",790,"chinook"
"2010-06-23",770,"chinook"
"2010-06-23",670,"chinook"
"2010-06-23",770,"chinook"
"2010-06-23",870,"chinook"
"2010-06-23",725,"chinook"
"2010-06-23",795,"chinook"
