"station","yearmonth","seasonal_mean"
"klag",2015-07-01,17.0935887580645
"klag",2015-08-01,16.5672715483871
"klag",2015-09-01,12.58412365
"klag",2016-05-01,13.2917339516129
"klag",2016-06-01,16.2278749833333
"klag",2016-07-01,17.3983065806452
"klag",2016-08-01,16.8325941612903
"klag",2016-09-01,15.8515477142857
"klag",2017-06-01,10.9649620454545
"klag",2017-07-01,16.1149058064516
"klag",2017-08-01,16.924892483871
"klag",2017-09-01,13.6182360666667
"neva",2010-05-01,12.0795161290323
"neva",2010-06-01,14.8381943
"neva",2010-07-01,14.5229703709677
"neva",2010-08-01,16.3596237096774
"neva",2010-09-01,13.4311944333333
"neva",2011-05-01,10.5174327387097
"neva",2011-06-01,14.51193045
"neva",2011-07-01,16.3855510645161
"neva",2011-08-01,14.9526075967742
"neva",2011-09-01,11.33987515
"neva",2012-05-01,8.90698926129032
"neva",2012-06-01,12.3994166333333
"neva",2012-07-01,13.9407661451613
"neva",2012-08-01,15.2078764032258
"neva",2012-09-01,13.1184675454545
"neva",2013-05-01,9.05533609677419
"neva",2013-06-01,15.4236945
"neva",2013-07-01,17.319892516129
"neva",2013-08-01,18.5645699677419
"neva",2013-09-01,15.0129306166667
"neva",2014-05-01,12.0024328
"neva",2014-06-01,13.9938473166667
"neva",2014-07-01,16.5683066290323
"neva",2014-08-01,15.8295295483871
"neva",2014-09-01,12.8261944333333
"neva",2015-05-01,13.6477284516129
"neva",2015-06-01,16.3055555
"neva",2015-07-01,17.6103629032258
"neva",2015-08-01,16.711814483871
"neva",2015-09-01,12.12304175
"neva",2016-05-01,12.0872580322581
"neva",2016-06-01,15.99937505
"neva",2016-07-01,18.3030913870968
"neva",2016-08-01,17.3206316451613
"neva",2016-09-01,13.8401249833333
"neva",2017-05-01,11.1217740967742
"neva",2017-06-01,13.4526388166667
"neva",2017-07-01,15.2889784354839
"neva",2017-08-01,16.5984946290323
"neva",2017-09-01,12.5765971833333
